name,km,fuel,type,price
2014 Maruti Suzuki Swift VXi,56.1K km,petrol,manual,₹3.74 Lakhs
2016 Maruti Suzuki Swift VDi ABS,51.4K km,diesel,manual,₹4.32 Lakhs
2020 Maruti Suzuki Eeco 7 STR,9.7K kmpetrolmanual,diesel,manual,₹3.62 Lakhs
2018 Maruti Suzuki Swift VXi,21.0K km,petrol,manual,₹5.39 Lakhs
2016 Maruti Suzuki Baleno Zeta Petrol,29.1K km,petrol,manual,₹5.29 Lakhs
2019 Maruti Suzuki Baleno Delta Petrol,14.3K km,petrol,manual,₹6.18 Lakhs
2018 Maruti Suzuki Eeco 5 STR WITH A/C+HTR CNG,45.3K kmpetrol+cngmanual,petrol,manual,₹3.68 Lakhs
2014 Maruti Suzuki Swift LDi,73.9K km,diesel,manual,₹3.13 Lakhs
2016 Maruti Suzuki Swift VDi ABS,44.8K km,diesel,manual,₹4.27 Lakhs
2017 Maruti Suzuki Baleno RS Petrol,63.4K km,petrol,manual,₹5.76 Lakhs
2016 Maruti Suzuki Ertiga ZXI,16.6K km,petrol,manual,₹7.20 Lakhs
2015 Maruti Suzuki Swift LDi,65.4K km,diesel,manual,₹3.49 Lakhs
2018 Maruti Suzuki Baleno Alpha AT Petrol,63.1K km,petrol,automatic,₹6.89 Lakhs
2016 Maruti Suzuki Swift LXI (O),25.1K km,petrol,manual,₹4.22 Lakhs
2017 Maruti Suzuki Baleno Alpha AT Petrol,65.1K km,petrol,automatic,₹6.37 Lakhs
2018 Maruti Suzuki Alto 800 Vxi,33.0K km,petrol,manual,₹3.05 Lakhs
2019 Maruti Suzuki Wagon R 1.0 VXi (O) AMT,40.3K km,petrol,automatic,₹4.89 Lakhs
2014 Maruti Suzuki Swift Dzire LDI,62.6K km,diesel,manual,₹3.35 Lakhs
2016 Maruti Suzuki Vitara Brezza ZDi,42.6K km,diesel,manual,₹6.34 Lakhs
2019 Maruti Suzuki Baleno Zeta AT Petrol,51.4K km,petrol,automatic,₹7.43 Lakhs
2016 Maruti Suzuki Vitara Brezza ZDi Plus,39.6K km,diesel,manual,₹6.90 Lakhs
2018 Maruti Suzuki Dzire ZXi Plus,21.5K km,petrol,manual,₹6.89 Lakhs
2017 Maruti Suzuki Baleno Zeta Petrol+CNG (Outside FItted),44.2K kmpetrol+cngmanual,petrol,manual,₹6.20 Lakhs
2014 Maruti Suzuki Swift Dzire LDI,71.2K km,diesel,manual,₹3.08 Lakhs
2013 Maruti Suzuki Swift VDi,63.4K km,diesel,manual,₹3.10 Lakhs
2013 Maruti Suzuki Swift VDi,71.9K km,diesel,manual,₹3.01 Lakhs
2014 Maruti Suzuki Swift VDi,58.5K km,diesel,manual,₹3.59 Lakhs
2017 Maruti Suzuki Ciaz ZXI+,41.0K km,petrol,manual,₹7.35 Lakhs
2013 Maruti Suzuki Swift Dzire LDI,86.9K km,diesel,manual,₹2.88 Lakhs
2016 Maruti Suzuki Baleno Zeta Petrol,50.7K km,petrol,manual,₹5.21 Lakhs
2016 Maruti Suzuki S-Cross Alpha 1.6,50.9K km,diesel,manual,₹6.53 Lakhs
2019 Maruti Suzuki Ciaz Alpha Petrol,20.3K km,petrol,manual,₹9.00 Lakhs
2014 Maruti Suzuki Swift Dzire VDI,56.8K km,diesel,manual,₹3.76 Lakhs
2016 Maruti Suzuki Swift LXI (O),45.9K km,petrol,manual,₹4.18 Lakhs
2016 Maruti Suzuki Eeco 5 STR WITH A/C+HTR CNG,25.2K kmpetrol+cngmanual,petrol,manual,₹3.35 Lakhs
2019 Maruti Suzuki Baleno Zeta AT Petrol,17.8K km,petrol,automatic,₹7.61 Lakhs
2017 Maruti Suzuki Eeco 5 STR WITH A/C+HTR CNG,42.6K kmpetrol+cngmanual,petrol,manual,₹3.44 Lakhs
2019 Maruti Suzuki Baleno Delta AT Petrol,24.7K km,petrol,automatic,₹6.99 Lakhs
2014 Maruti Suzuki Swift Dzire LDI,78.4K km,diesel,manual,₹3.05 Lakhs
2019 Maruti Suzuki Baleno Alpha Petrol,12.4K km,petrol,manual,₹7.23 Lakhs
2019 Maruti Suzuki Ciaz Alpha AT Petrol,37.3K km,petrol,automatic,₹9.25 Lakhs
2016 Maruti Suzuki Swift Dzire VDI (O),53.0K km,diesel,manual,₹4.80 Lakhs
2014 Maruti Suzuki Swift VDi,93.6K km,diesel,manual,₹3.22 Lakhs
2017 Maruti Suzuki Vitara Brezza ZDi Plus,51.3K km,diesel,manual,₹7.20 Lakhs
2014 Maruti Suzuki Swift Dzire LDI,57.2K km,diesel,manual,₹3.38 Lakhs
2014 Maruti Suzuki Swift Dzire VDI,58.8K km,diesel,manual,₹3.67 Lakhs
2017 Maruti Suzuki Vitara Brezza ZDi,35.1K km,diesel,manual,₹6.69 Lakhs
2015 Maruti Suzuki Swift VDi,62.9K km,diesel,manual,₹3.80 Lakhs
2016 Maruti Suzuki Vitara Brezza ZDi Plus,94.1K km,diesel,manual,₹6.74 Lakhs
2014 Maruti Suzuki Swift Dzire VDI,21.1K km,diesel,manual,₹3.75 Lakhs
2016 Maruti Suzuki Vitara Brezza VDi (O),90.3K km,diesel,manual,₹5.69 Lakhs
2013 Maruti Suzuki Swift VDi,89.8K km,diesel,manual,₹3.12 Lakhs
2016 Maruti Suzuki Vitara Brezza ZDi Plus,28.4K km,diesel,manual,₹7.00 Lakhs
2019 Maruti Suzuki Ciaz Alpha AT Petrol,22.3K km,petrol,automatic,₹9.59 Lakhs
2016 Maruti Suzuki Vitara Brezza ZDi Plus,22.5K km,diesel,manual,₹7.23 Lakhs
2015 Maruti Suzuki Swift Dzire LDI,70.4K km,diesel,manual,₹3.67 Lakhs
2017 Maruti Suzuki Vitara Brezza ZDi Plus,52.5K km,diesel,manual,₹7.30 Lakhs
2014 Maruti Suzuki Swift Dzire LDI,66.8K km,diesel,manual,₹3.18 Lakhs
2016 Maruti Suzuki Vitara Brezza ZDi,81.4K km,diesel,manual,₹6.13 Lakhs
2017 Maruti Suzuki Swift LDi,98.3K km,diesel,manual,₹3.94 Lakhs
